,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
2,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
3,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
4,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
5,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
6,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
7,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
8,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
9,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
10,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
11,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
12,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
13,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
14,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
15,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
16,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
17,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
18,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
19,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
20,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
21,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
22,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
23,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
24,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
25,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
26,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
27,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
28,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
29,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
30,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
31,5000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8000,8500
