,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,208,208,208,208,208,208,208,208,208,208,208,208
2,208,208,208,208,208,208,208,208,208,208,208,208
3,208,208,208,208,208,208,208,208,208,208,208,208
4,208,208,208,208,208,208,208,208,208,208,208,208
5,208,208,208,208,208,208,208,208,208,208,208,208
6,208,208,208,208,208,208,208,208,208,208,208,208
7,208,208,208,208,208,208,208,208,208,208,208,208
8,208,208,208,208,208,208,208,208,208,208,208,208
9,208,208,208,208,208,208,208,208,208,208,208,208
10,208,208,208,208,208,208,208,208,208,208,208,208
11,208,208,208,208,208,208,208,208,208,208,208,208
12,208,208,208,208,208,208,208,208,208,208,208,208
13,208,208,208,208,208,208,208,208,208,208,208,208
14,208,208,208,208,208,208,208,208,208,208,208,208
15,208,208,208,208,208,208,208,208,208,208,208,208
16,208,208,208,208,208,208,208,208,208,208,208,208
17,208,208,208,208,208,208,208,208,208,208,208,208
18,208,208,208,208,208,208,208,208,208,208,208,208
19,208,208,208,208,208,208,208,208,208,208,208,208
20,208,208,208,208,208,208,208,208,208,208,208,208
21,208,208,208,208,208,208,208,208,208,208,208,208
22,208,208,208,208,208,208,208,208,208,208,208,208
23,208,208,208,208,208,208,208,208,208,208,208,208
24,208,208,208,208,208,208,208,208,208,208,208,208
25,208,208,208,208,208,208,208,208,208,208,208,208
26,208,208,208,208,208,208,208,208,208,208,208,208
27,208,208,208,208,208,208,208,208,208,208,208,208
28,208,208,208,208,208,208,208,208,208,208,208,208
29,208,208,208,208,208,208,208,208,208,208,208,208
30,208,208,208,208,208,208,208,208,208,208,208,208
31,208,208,208,208,208,208,208,208,208,208,208,208
