,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,308,308,308,308,308,308,308,308,308,308,308,308
2,308,308,308,308,308,308,308,308,308,308,308,308
3,308,308,308,308,308,308,308,308,308,308,308,308
4,308,308,308,308,308,308,308,308,308,308,308,308
5,308,308,308,308,308,308,308,308,308,308,308,308
6,308,308,308,308,308,308,308,308,308,308,308,308
7,308,308,308,308,308,308,308,308,308,308,308,308
8,308,308,308,308,308,308,308,308,308,308,308,308
9,308,308,308,308,308,308,308,308,308,308,308,308
10,308,308,308,308,308,308,308,308,308,308,308,308
11,308,308,308,308,308,308,308,308,308,308,308,308
12,308,308,308,308,308,308,308,308,308,308,308,308
13,308,308,308,308,308,308,308,308,308,308,308,308
14,308,308,308,308,308,308,308,308,308,308,308,308
15,308,308,308,308,308,308,308,308,308,308,308,308
16,308,308,308,308,308,308,308,308,308,308,308,308
17,308,308,308,308,308,308,308,308,308,308,308,308
18,308,308,308,308,308,308,308,308,308,308,308,308
19,308,308,308,308,308,308,308,308,308,308,308,308
20,308,308,308,308,308,308,308,308,308,308,308,308
21,308,308,308,308,308,308,308,308,308,308,308,308
22,308,308,308,308,308,308,308,308,308,308,308,308
23,308,308,308,308,308,308,308,308,308,308,308,308
24,308,308,308,308,308,308,308,308,308,308,308,308
25,308,308,308,308,308,308,308,308,308,308,308,308
26,308,308,308,308,308,308,308,308,308,308,308,308
27,308,308,308,308,308,308,308,308,308,308,308,308
28,308,308,308,308,308,308,308,308,308,308,308,308
29,308,308,308,308,308,308,308,308,308,308,308,308
30,308,308,308,308,308,308,308,308,308,308,308,308
31,308,308,308,308,308,308,308,308,308,308,308,308
