,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
2,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
3,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
4,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
5,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
6,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
7,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
8,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
9,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
10,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
11,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
12,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
13,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
14,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
15,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
16,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
17,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
18,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
19,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
20,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
21,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
22,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
23,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
24,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
25,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
26,7000,5250,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
27,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
28,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
29,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
30,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
31,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
