,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
2,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
3,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
4,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
5,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
6,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
7,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
8,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
9,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
10,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
11,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
12,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
13,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
14,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
15,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
16,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
17,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
18,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
19,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
20,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
21,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
22,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
23,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
24,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
25,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
26,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
27,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
28,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
29,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
30,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
31,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
