,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
2,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
3,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
4,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
5,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
6,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
7,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
8,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
9,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
10,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
11,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
12,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
13,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
14,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
15,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
16,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
17,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
18,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
19,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
20,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
21,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
22,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
23,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
24,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
25,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
26,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
27,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
28,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
29,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
30,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
31,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
