,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,408,408,408,408,408,408,408,408,408,408,408,408
2,408,408,408,408,408,408,408,408,408,408,408,408
3,408,408,408,408,408,408,408,408,408,408,408,408
4,408,408,408,408,408,408,408,408,408,408,408,408
5,408,408,408,408,408,408,408,408,408,408,408,408
6,408,408,408,408,408,408,408,408,408,408,408,408
7,408,408,408,408,408,408,408,408,408,408,408,408
8,408,408,408,408,408,408,408,408,408,408,408,408
9,408,408,408,408,408,408,408,408,408,408,408,408
10,408,408,408,408,408,408,408,408,408,408,408,408
11,408,408,408,408,408,408,408,408,408,408,408,408
12,408,408,408,408,408,408,408,408,408,408,408,408
13,408,408,408,408,408,408,408,408,408,408,408,408
14,408,408,408,408,408,408,408,408,408,408,408,408
15,408,408,408,408,408,408,408,408,408,408,408,408
16,408,408,408,408,408,408,408,408,408,408,408,408
17,408,408,408,408,408,408,408,408,408,408,408,408
18,408,408,408,408,408,408,408,408,408,408,408,408
19,408,408,408,408,408,408,408,408,408,408,408,408
20,408,408,408,408,408,408,408,408,408,408,408,408
21,408,408,408,408,408,408,408,408,408,408,408,408
22,408,408,408,408,408,408,408,408,408,408,408,408
23,408,408,408,408,408,408,408,408,408,408,408,408
24,408,408,408,408,408,408,408,408,408,408,408,408
25,408,408,408,408,408,408,408,408,408,408,408,408
26,408,408,408,408,408,408,408,408,408,408,408,408
27,408,408,408,408,408,408,408,408,408,408,408,408
28,408,408,408,408,408,408,408,408,408,408,408,408
29,408,408,408,408,408,408,408,408,408,408,408,408
30,408,408,408,408,408,408,408,408,408,408,408,408
31,408,408,408,408,408,408,408,408,408,408,408,408
